County,Graduation,Income,SAT
Montgomery,93.10000000000001,"$72,506 ",990.3333333333334
Moore,97.39999999999999,"$52,344 ",984.5
Morris,95.875,"$38,255 ",910.0
Motley,100.0,"$37,464 ",967.0
Nacogdoches,95.03750000000001,"$38,099 ",989.7142857142857
Navarro,97.72142857142856,"$44,111 ",908.5714285714286
Newton,92.26666666666667,"$41,388 ",945.5
Nolan,97.48750000000001,"$40,969 ",1042.6666666666667
Nueces,87.71818181818182,"$53,562 ",956.8
Ochiltree,91.1,"$61,194 ",865.0
Oldham,100.0,"$54,212 ",949.0
Orange,91.43999999999998,"$53,611 ",934.8
Palo Pinto,96.66,"$43,589 ",927.0
Panola,92.07499999999999,"$47,780 ",975.75
Parker,95.39375000000003,"$67,735 ",992.7142857142857
Parmer,97.325,"$48,344 ",1080.0
Pecos,95.56666666666668,"$45,414 ",929.3333333333334
Polk,94.75833333333333,"$43,014 ",849.1666666666666
Potter,96.61250000000001,"$41,563 ",972.0
Presidio,93.07499999999999,"$32,742 ",793.0
Rains,92.0,"$47,354 ",1029.0
Randall,96.85,"$65,795 ",1035.0
Reagan,96.44999999999999,"$67,308 ",1045.0
Real,68.55,"$36,744 ",1160.0
Red River,97.50000000000001,"$36,352 ",964.0
Reeves,97.875,"$40,092 ",887.0
Refugio,97.3,"$45,366 ",1001.0
Roberts,100.0,"$75,816 ",
Robertson,97.22,"$42,680 ",925.75
Rockwall,95.275,"$97,484 ",1000.5
Runnels,98.2,"$40,112 ",1014.6666666666666
Rusk,94.06875000000002,"$46,421 ",922.4
Sabine,92.75,"$38,451 ",917.5
San Augustine,95.1,"$36,426 ",895.5
San Jacinto,90.6,"$45,794 ",906.5
San Patricio,93.50000000000001,"$51,667 ",922.8571428571429
San Saba,95.38333333333333,"$39,995 ",984.3333333333334
Schleicher,97.7,"$47,258 ",915.0
Scurry,96.66666666666667,"$50,316 ",792.0
Shackelford,87.2,"$55,403 ",987.5
Shelby,95.51,"$37,410 ",847.5
Sherman,95.8,"$55,761 ",
Smith,93.2,"$52,520 ",953.375
Somervell,84.45,"$56,944 ",921.5
Starr,93.46666666666665,"$26,691 ",942.5
Stephens,91.35,"$42,831 ",946.0
Sterling,95.2,"$60,577 ",
Stonewall,95.7,"$44,225 ",
Sutton,95.0,"$54,760 ",920.0
Swisher,92.80000000000001,"$38,790 ",1113.0
Tarrant,93.5236842105263,"$61,553 ",983.7391304347826
Taylor,89.72500000000001,"$48,215 ",1017.8
Terrell,90.0,"$41,114 ",
Terry,96.95,"$38,910 ",903.6666666666666
Throckmorton,96.15,"$42,876 ",923.0
Titus,94.75,"$45,324 ",937.5
Tom Green,94.72857142857143,"$48,221 ",1009.7142857142857
Travis,88.77083333333336,"$70,068 ",1028.8333333333333
Trinity,94.225,"$38,973 ",918.5
Tyler,93.89,"$43,617 ",958.0
Upshur,95.34285714285716,"$49,015 ",964.8333333333334
Upton,96.375,"$56,335 ",1055.0
Uvalde,89.22500000000001,"$36,913 ",936.25
Val Verde,93.05,"$42,104 ",1002.5
Van Zandt,91.6125,"$49,751 ",985.5714285714286
Victoria,84.45,"$53,659 ",903.5
Walker,64.68333333333334,"$42,709 ",932.3333333333334
Waller,94.28333333333335,"$56,407 ",838.6666666666666
Ward,98.125,"$63,809 ",965.0
Washington,95.475,"$53,157 ",987.0
Webb,87.775,"$36,718 ",868.0
Wharton,98.06,"$46,097 ",963.4
Wheeler,91.25,"$47,476 ",
Wichita,95.92,"$45,071 ",929.1666666666666
Wilbarger,96.78333333333335,"$40,955 ",1039.0
Willacy,89.95,"$31,225 ",863.75
Williamson,96.67500000000001,"$82,370 ",1003.3
Wilson,96.2625,"$66,045 ",947.25
Winkler,98.95,"$53,312 ",
Wise,97.92142857142858,"$57,609 ",959.2857142857143
Wood,96.99166666666667,"$47,260 ",955.6666666666666
Yoakum,96.55000000000001,"$57,114 ",1029.0
Young,95.3,"$52,133 ",1003.0
Zapata,90.95,"$34,136 ",917.0
Zavala,93.69999999999999,"$25,507 ",798.0
Dewitt,,"$46,915 ",932.0
Kenedy,,"$38,718 ",
Loving,,"$64,179 ",
